,stuck,oob,success,dnf,not_progressing,lap_times,episode,pct_complete,total_time,total_distance,average_speed_kph,average_displacement_error,trajectory_efficiency,trajectory_admissibility,movement_smoothness,timestep/sec
174,False,True,False,False,False,[],1175,0.2,6.18,20.9,12.18,1.74,0.173,0.767,5.518,7.93
175,False,True,False,False,False,[],1176,0.2,10.86,32.16,10.66,1.96,0.027,0.795,6.116,8.74
176,False,True,False,False,False,[],1177,0.3,9.61,44.93,16.83,1.4,0.007,0.78,5.651,8.74
177,False,True,False,False,False,[],1178,0.2,8.77,25.03,10.27,1.6,0.058,0.803,6.26,9.0
178,False,True,False,False,False,[],1179,0.3,6.4,34.89,19.62,1.22,0.187,0.771,5.64,8.75
179,False,True,False,False,False,[],1180,0.3,8.57,39.37,16.53,2.14,0.198,0.737,6.421,8.63
180,False,True,False,False,False,[],1181,0.2,7.61,20.38,9.64,1.63,0.001,0.729,4.925,8.8
181,False,True,False,False,False,[],1182,0.1,14.48,17.4,4.33,2.11,0.003,0.716,5.946,8.77
182,False,True,False,False,False,[],1183,0.2,22.17,27.25,4.42,1.59,0.051,0.824,7.389,8.8
183,False,True,False,False,False,[],1184,0.3,11.17,39.27,12.66,1.63,0.006,0.753,7.113,8.77
184,False,True,False,False,False,[],1185,0.6,22.01,65.61,10.73,1.85,0.001,0.809,7.894,8.45
185,False,True,False,False,False,[],1186,0.3,10.28,35.51,12.43,1.41,0.073,0.817,6.666,8.75
186,False,True,False,False,False,[],1187,0.6,17.16,72.23,15.15,1.49,0.187,0.801,7.871,8.74
187,False,True,False,False,False,[],1188,0.3,12.14,34.29,10.17,2.58,0.151,0.65,6.826,8.73
188,False,True,False,False,False,[],1189,0.2,7.49,23.76,11.42,1.56,0.004,0.754,6.247,8.82
189,False,True,False,False,False,[],1190,0.2,12.62,20.42,5.82,1.17,0.001,0.837,5.974,8.79
190,False,True,False,False,False,[],1191,0.2,8.68,27.92,11.58,2.29,0.185,0.698,6.386,8.76
191,False,True,False,False,False,[],1192,0.3,13.41,47.05,12.63,1.38,0.097,0.841,6.374,8.8
192,False,True,False,False,False,[],1193,1.0,22.28,116.31,18.79,2.25,0.193,0.814,8.188,8.75
193,False,True,False,False,False,[],1194,0.2,6.26,23.84,13.7,2.2,0.161,0.7,5.911,8.78
194,False,True,False,False,False,[],1195,0.3,9.62,30.71,11.49,2.17,0.037,0.712,6.685,8.73
195,False,True,False,False,False,[],1196,0.3,9.01,30.24,12.08,2.21,0.184,0.661,5.924,8.77
196,False,True,False,False,False,[],1197,0.5,13.31,66.08,17.87,1.6,0.189,0.794,7.706,8.71
197,False,True,False,False,False,[],1198,0.3,14.49,33.58,8.34,1.53,0.166,0.764,6.619,8.76
198,False,True,False,False,False,[],1199,0.2,9.01,21.36,8.54,1.38,0.001,0.773,4.989,8.77
199,False,True,False,False,False,[],1200,0.3,7.18,31.76,15.93,1.65,0.11,0.691,6.663,8.78
200,False,True,False,False,False,[],1201,0.2,6.95,20.03,10.37,1.74,0.122,0.744,5.622,8.77
201,False,True,False,False,False,[],1202,0.2,7.47,25.09,12.09,1.72,0.03,0.788,5.347,8.7
202,False,True,False,False,False,[],1203,0.2,5.68,21.85,13.85,1.84,0.004,0.651,4.861,8.8
203,False,True,False,False,False,[],1204,0.5,10.95,57.88,19.04,1.26,0.203,0.797,6.106,8.77
204,False,True,False,False,False,[],1205,0.6,10.83,64.16,21.32,1.23,0.215,0.754,6.612,8.12
205,False,True,False,False,False,[],1206,0.4,9.13,41.68,16.43,1.32,0.171,0.779,6.42,8.76
206,False,True,False,False,False,[],1207,0.5,16.32,58.37,12.88,1.55,0.003,0.777,6.994,8.76
207,False,True,False,False,False,[],1208,0.3,10.22,34.21,12.05,2.0,0.002,0.765,6.013,8.8
208,False,True,False,False,False,[],1209,0.2,10.03,23.26,8.35,1.55,0.0,0.789,6.243,8.78
209,False,True,False,False,False,[],1210,0.2,11.95,25.63,7.72,1.79,0.018,0.741,6.516,8.12
210,False,True,False,False,False,[],1211,0.3,11.71,31.15,9.58,1.36,0.001,0.827,6.575,8.71
211,False,True,False,False,False,[],1212,0.2,7.18,21.15,10.61,1.74,0.164,0.784,6.137,8.78
212,False,True,False,False,False,[],1213,0.1,5.04,15.58,11.14,2.57,0.066,0.629,5.752,8.73
213,False,True,False,False,False,[],1214,0.2,12.62,27.23,7.77,1.9,0.161,0.732,6.807,8.72
214,False,True,False,False,False,[],1215,0.3,9.59,37.16,13.95,0.98,0.001,0.777,4.883,8.76
215,False,True,False,False,False,[],1216,0.2,7.9,28.19,12.84,1.87,0.001,0.795,6.075,8.73
216,False,True,False,False,False,[],1217,0.3,10.05,36.53,13.09,2.08,0.17,0.741,7.086,8.76
217,False,True,False,False,False,[],1218,0.4,12.39,44.04,12.79,1.38,0.002,0.808,6.349,8.72
218,False,True,False,False,False,[],1219,0.3,13.27,33.02,8.96,1.32,0.001,0.817,6.411,8.82
219,False,True,False,False,False,[],1220,0.2,8.49,25.49,10.81,1.65,0.014,0.716,6.482,8.72
220,False,True,False,False,False,[],1221,0.8,14.99,93.56,22.47,2.06,0.196,0.827,7.237,8.74
221,False,True,False,False,False,[],1222,0.2,5.69,21.57,13.64,1.49,0.148,0.758,5.061,8.78
222,False,True,False,False,False,[],1223,0.5,11.93,62.85,18.97,2.1,0.198,0.76,7.365,8.72
223,False,True,False,False,False,[],1224,0.9,18.51,108.68,21.14,1.72,0.037,0.824,8.424,8.75
224,False,True,False,False,False,[],1225,0.2,7.46,28.02,13.52,1.5,0.197,0.822,6.243,8.71
225,False,True,False,False,False,[],1226,0.3,10.93,31.13,10.25,1.4,0.011,0.824,6.716,8.78
226,False,True,False,False,False,[],1227,0.3,12.18,32.61,9.64,2.05,0.079,0.744,6.594,8.79
227,False,True,False,False,False,[],1228,0.3,15.88,35.24,7.99,2.18,0.178,0.734,6.66,8.82
228,False,True,False,False,False,[],1229,0.4,15.09,42.66,10.18,2.14,0.159,0.77,6.991,8.81
229,False,True,False,False,False,[],1230,0.2,12.36,28.77,8.38,1.51,0.019,0.763,6.616,8.25
230,False,True,False,False,False,[],1231,0.3,10.59,35.62,12.11,1.58,0.001,0.819,6.255,8.78
231,False,True,False,False,False,[],1232,0.4,11.29,50.11,15.97,1.24,0.184,0.755,6.664,8.77
232,False,True,False,False,False,[],1233,0.5,23.45,62.43,9.58,2.31,0.001,0.696,6.859,8.74
233,False,True,False,False,False,[],1234,0.7,22.13,80.75,13.13,1.12,0.187,0.812,8.168,8.45
234,False,True,False,False,False,[],1235,0.4,8.68,41.99,17.42,1.2,0.103,0.772,6.321,8.76
235,False,True,False,False,False,[],1236,0.6,14.49,68.44,17.0,1.71,0.003,0.846,7.847,8.76
236,False,True,False,False,False,[],1237,0.2,7.46,26.27,12.68,1.25,0.002,0.752,6.302,8.85
237,False,True,False,False,False,[],1238,0.6,11.24,68.29,21.88,1.97,0.18,0.717,6.93,8.81
238,False,True,False,False,False,[],1239,0.2,7.08,22.0,11.19,1.89,0.161,0.821,6.238,8.76
239,False,True,False,False,False,[],1240,0.4,14.63,50.94,12.53,1.66,0.05,0.848,7.449,8.75
240,False,True,False,False,False,[],1241,0.5,18.11,61.52,12.23,1.21,0.008,0.843,7.538,8.78
241,False,False,False,False,True,[],1242,0.2,34.03,19.25,2.04,2.97,0.003,1.0,6.814,8.79
242,False,True,False,False,False,[],1243,0.3,12.5,35.35,10.18,2.0,0.001,0.731,6.716,8.32
243,False,True,False,False,False,[],1244,0.3,13.43,43.71,11.72,1.32,0.006,0.817,6.51,8.71
244,False,True,False,False,False,[],1245,0.3,9.76,36.61,13.51,2.46,0.178,0.737,6.691,8.81
245,False,True,False,False,False,[],1246,0.3,8.1,31.08,13.81,2.1,0.185,0.713,6.176,8.89
246,False,True,False,False,False,[],1247,0.2,6.17,22.71,13.25,2.21,0.136,0.665,5.837,8.75
247,False,True,False,False,False,[],1248,0.3,7.27,33.04,16.35,1.35,0.043,0.748,6.342,8.8
248,False,True,False,False,False,[],1249,0.4,9.53,50.29,19.01,1.69,0.016,0.755,6.906,8.82
249,False,True,False,False,False,[],1250,0.2,7.29,24.85,12.27,2.17,0.086,0.667,5.846,8.78
250,False,True,False,False,False,[],1251,0.3,9.97,40.92,14.78,1.72,0.175,0.787,6.467,8.83
251,False,True,False,False,False,[],1252,0.3,9.71,35.79,13.27,1.92,0.177,0.715,7.369,8.86
252,False,True,False,False,False,[],1253,0.2,10.47,26.26,9.03,2.12,0.027,0.726,5.888,8.79
253,False,True,False,False,False,[],1254,0.3,14.92,33.84,8.16,1.96,0.157,0.686,6.524,8.24
254,False,True,False,False,False,[],1255,0.3,18.56,33.41,6.48,1.95,0.001,0.767,6.893,8.78
255,False,False,False,False,True,[],1256,0.4,33.93,48.31,5.12,0.79,0.001,1.0,7.043,8.81
256,False,True,False,False,False,[],1257,0.4,14.13,42.1,10.73,2.25,0.166,0.62,6.894,8.78
